iter	Passed	Remaining
163	483	2464
164	484	2450
165	485	2438
166	486	2424
167	486	2411
168	487	2398
169	488	2386
170	489	2373
171	490	2361
172	491	2348
173	492	2335
174	493	2324
175	493	2312
176	495	2302
177	496	2290
178	496	2279
179	498	2269
180	499	2257
181	499	2246
182	500	2235
183	501	2224
184	502	2213
185	503	2202
186	504	2192
187	505	2182
188	506	2171
189	507	2161
190	507	2151
191	508	2140
192	509	2131
193	510	2122
194	511	2113
195	512	2103
196	513	2093
197	514	2084
198	515	2074
199	516	2064
200	517	2055
201	517	2045
202	518	2036
203	519	2026
204	520	2017
205	521	2008
206	521	1999
207	522	1990
208	523	1982
209	524	1974
210	525	1965
211	526	1957
212	527	1949
213	528	1941
214	529	1932
215	530	1924
216	531	1916
217	531	1907
218	532	1899
219	533	1891
220	534	1883
221	535	1875
222	536	1867
223	536	1860
224	537	1852
225	538	1844
226	539	1837
227	540	1830
228	541	1822
229	542	1814
230	542	1807
231	543	1800
232	544	1792
233	545	1785
234	546	1778
235	547	1771
236	547	1764
237	548	1756
238	549	1749
239	550	1742
240	551	1736
241	552	1729
242	553	1722
243	553	1716
244	554	1709
245	555	1702
246	556	1696
247	557	1689
248	558	1683
249	559	1677
250	559	1670
251	560	1664
252	561	1658
253	562	1652
254	563	1645
255	564	1639
256	564	1633
257	565	1627
258	566	1621
259	567	1615
260	568	1609
261	569	1604
262	570	1598
263	571	1593
264	572	1588
265	573	1582
266	574	1576
267	575	1571
268	576	1565
269	577	1560
270	577	1554
271	578	1549
272	579	1544
273	580	1538
274	581	1533
275	582	1528
276	583	1523
277	584	1518
278	585	1513
279	586	1508
280	587	1502
281	588	1497
282	588	1492
283	589	1486
284	590	1481
285	591	1477
286	592	1472
287	593	1467
288	594	1462
289	595	1457
290	596	1452
291	597	1447
292	598	1443
293	599	1438
294	600	1433
295	600	1429
296	601	1424
297	602	1419
298	603	1414
299	604	1410
300	605	1405
301	605	1400
302	606	1395
303	607	1390
304	608	1385
305	608	1381
306	609	1376
307	610	1371
308	611	1367
309	612	1362
310	613	1358
311	613	1353
312	614	1349
313	615	1345
314	616	1340
315	617	1336
316	618	1331
317	618	1327
318	619	1322
319	620	1318
320	621	1313
321	621	1309
322	622	1305
323	623	1300
324	624	1296
325	625	1292
326	626	1288
327	626	1284
328	627	1280
329	628	1276
330	629	1272
331	630	1267
332	630	1263
333	631	1259
334	632	1255
335	633	1251
336	634	1247
337	635	1243
338	635	1239
339	636	1235
340	637	1231
341	638	1227
342	639	1224
343	640	1221
344	641	1217
345	642	1213
346	642	1209
347	643	1205
348	644	1202
349	645	1198
350	645	1194
351	646	1190
352	647	1187
353	648	1183
354	649	1179
355	650	1175
356	650	1172
357	651	1168
358	652	1165
359	654	1163
360	655	1160
361	656	1157
362	657	1153
363	658	1150
364	659	1146
365	659	1142
366	660	1139
367	661	1135
368	662	1132
369	662	1128
370	663	1125
371	664	1122
372	665	1118
373	666	1115
374	667	1112
375	668	1109
376	669	1106
377	670	1103
378	671	1099
379	672	1096
380	673	1093
381	673	1090
382	674	1086
383	675	1083
384	676	1080
385	677	1076
386	677	1073
387	678	1070
388	679	1067
389	680	1063
390	680	1060
391	681	1057
392	682	1054
393	683	1051
394	684	1048
395	685	1045
396	686	1042
397	686	1038
398	687	1035
399	688	1032
400	689	1029
401	690	1026
402	691	1023
403	691	1020
404	692	1017
405	693	1014
406	694	1011
407	694	1008
408	695	1004
409	696	1002
410	697	999
411	698	996
412	698	993
413	699	990
414	700	987
415	701	984
416	701	981
417	702	978
418	703	975
419	704	972
420	704	969
421	705	966
422	706	963
423	706	960
424	707	957
425	708	954
426	709	951
427	710	949
428	711	946
429	712	944
430	713	941
431	713	938
432	714	935
433	715	933
434	716	930
435	717	927
436	718	925
437	718	922
438	719	919
439	720	917
440	721	914
441	722	911
442	723	909
443	723	906
444	724	904
445	725	901
446	726	899
447	727	896
448	728	893
449	729	891
450	730	888
451	730	886
452	731	883
453	732	881
454	733	878
455	734	876
456	735	873
457	735	870
458	736	868
459	737	865
460	738	862
461	739	860
462	740	858
463	740	855
464	741	853
465	742	850
466	742	847
467	743	845
468	744	842
469	744	839
470	745	837
471	746	834
472	746	831
473	747	829
474	747	826
475	748	823
476	749	821
477	749	818
478	750	816
479	750	813
480	751	810
481	752	808
482	752	805
483	753	803
484	754	801
485	755	799
486	756	796
487	756	794
488	757	791
489	758	789
490	758	786
491	759	784
492	760	781
493	760	779
494	761	776
495	761	774
496	762	771
497	763	769
498	764	767
499	764	764
500	765	762
501	765	759
502	766	757
503	767	754
504	767	752
505	768	750
506	769	748
507	770	745
508	770	743
509	771	741
510	772	738
511	772	736
512	773	734
513	773	731
514	774	729
515	774	726
516	775	724
517	776	722
518	776	719
519	777	717
520	777	715
521	778	712
522	779	710
523	779	708
524	780	705
525	780	703
526	781	701
527	781	699
528	782	696
529	783	694
530	784	692
531	784	690
532	785	688
533	786	685
534	786	683
535	787	681
536	787	679
537	788	677
538	788	674
539	789	672
540	790	670
541	790	668
542	791	665
543	791	663
544	792	661
545	792	659
546	793	657
547	794	655
548	794	652
549	795	650
550	795	648
551	796	646
552	797	644
553	798	642
554	798	640
555	799	638
556	800	636
557	800	634
558	801	632
559	801	630
560	802	628
561	803	625
562	803	623
563	804	621
564	804	619
565	805	617
566	806	615
567	806	613
568	807	611
569	807	609
570	808	607
571	808	605
572	809	603
573	810	601
574	810	599
575	811	597
576	811	595
577	812	593
578	813	591
579	814	589
580	814	587
581	815	585
582	815	583
583	816	581
584	817	579
585	817	577
586	818	575
587	818	573
588	819	571
589	819	569
590	820	567
591	821	565
592	821	563
593	822	561
594	822	560
595	823	558
596	823	556
597	824	554
598	825	552
599	825	550
600	826	548
601	827	546
602	828	545
603	828	543
604	829	541
605	829	539
606	830	537
607	830	535
608	831	533
609	832	531
610	832	530
611	833	528
612	833	526
613	834	524
614	834	522
615	835	520
616	836	518
617	836	517
618	837	515
619	837	513
620	838	511
621	838	509
622	839	507
623	840	506
624	840	504
625	841	503
626	842	501
627	843	499
628	843	497
629	844	495
630	844	494
631	845	492
632	846	490
633	846	488
634	847	486
635	847	485
636	848	483
637	848	481
638	849	479
639	849	478
640	850	476
641	851	474
642	851	472
643	852	471
644	852	469
645	853	467
646	853	465
647	854	464
648	855	462
649	855	460
650	857	459
651	858	458
652	859	456
653	859	454
654	860	453
655	861	451
656	862	450
657	863	448
658	864	447
659	865	445
660	865	444
661	866	442
662	867	440
663	867	439
664	868	437
665	868	435
666	869	434
667	870	432
668	870	430
669	871	429
670	872	427
671	872	426
672	873	424
673	874	422
674	874	421
675	875	419
676	876	417
677	876	416
678	877	414
679	877	413
680	878	411
681	879	409
682	879	408
683	880	406
684	880	405
685	881	403
686	881	401
687	882	400
688	883	398
689	883	397
690	884	395
691	884	393
692	885	392
693	886	390
694	887	389
695	887	387
696	888	386
697	889	384
698	890	383
699	890	381
700	891	380
701	891	378
702	892	377
703	893	375
704	893	373
705	894	372
706	894	370
707	895	369
708	896	367
709	896	366
710	897	364
711	897	363
712	898	361
713	898	360
714	899	358
715	900	357
716	901	355
717	901	354
718	902	352
719	903	351
720	903	349
721	904	348
722	905	346
723	905	345
724	906	343
725	906	342
726	907	340
727	908	339
728	908	337
729	909	336
730	909	334
731	910	333
732	910	331
733	911	330
734	912	328
735	912	327
736	913	325
737	913	324
738	914	323
739	915	321
740	916	320
741	916	318
742	917	317
743	917	315
744	918	314
745	919	312
746	919	311
747	920	310
748	920	308
749	921	307
750	922	305
751	922	304
752	923	302
753	923	301
754	924	299
755	924	298
756	925	297
757	926	295
758	926	294
759	927	292
760	927	291
761	928	289
762	928	288
763	929	287
764	930	285
765	931	284
766	932	283
767	932	281
768	933	280
769	933	278
770	934	277
771	934	276
772	935	274
773	936	273
774	936	271
775	937	270
776	937	269
777	938	267
778	938	266
779	939	264
780	940	263
781	940	262
782	941	260
783	941	259
784	942	258
785	942	256
786	943	255
787	944	254
788	945	252
789	945	251
790	946	250
791	947	248
792	947	247
793	948	246
794	949	244
795	949	243
796	950	242
797	950	240
798	951	239
799	952	238
800	952	236
801	953	235
802	953	233
803	954	232
804	954	231
805	955	229
806	956	228
807	956	227
808	957	225
809	957	224
810	958	223
811	959	222
812	960	220
813	960	219
814	961	218
815	962	216
816	962	215
817	963	214
818	963	213
819	964	211
820	965	210
821	965	209
822	966	207
823	966	206
824	967	205
825	968	203
826	968	202
827	969	201
828	970	200
829	970	198
830	971	197
831	971	196
832	972	194
833	973	193
834	974	192
835	975	191
836	975	190
837	976	188
838	976	187
839	977	186
840	978	184
841	978	183
842	979	182
843	979	181
844	980	179
845	980	178
846	981	177
847	982	176
848	982	174
849	983	173
850	983	172
851	984	171
852	984	169
853	985	168
854	986	167
855	986	166
856	987	164
857	988	163
858	989	162
859	989	161
860	990	159
861	990	158
862	991	157
863	992	156
864	992	154
865	993	153
866	993	152
867	994	151
868	994	149
869	995	148
870	996	147
871	996	146
872	997	145
873	997	143
874	998	142
875	998	141
876	999	140
877	1000	138
878	1000	137
879	1001	136
880	1001	135
881	1002	134
882	1003	132
883	1004	131
884	1004	130
885	1005	129
886	1006	128
887	1006	126
888	1007	125
889	1007	124
890	1008	123
891	1009	122
892	1009	120
893	1010	119
894	1010	118
895	1011	117
896	1011	116
897	1012	115
898	1013	113
899	1013	112
900	1014	111
901	1014	110
902	1015	109
903	1015	107
904	1016	106
905	1017	105
906	1018	104
907	1019	103
908	1020	102
909	1020	100
910	1021	99
911	1022	98
912	1023	97
913	1024	96
914	1024	95
915	1025	94
916	1026	92
917	1026	91
918	1027	90
919	1028	89
920	1028	88
921	1029	87
922	1029	85
923	1030	84
924	1031	83
925	1032	82
926	1033	81
927	1033	80
928	1034	79
929	1035	77
930	1036	76
931	1037	75
932	1037	74
933	1038	73
934	1039	72
935	1040	71
936	1040	69
937	1041	68
938	1042	67
939	1042	66
940	1043	65
941	1044	64
942	1044	63
943	1045	62
944	1046	60
945	1047	59
946	1047	58
947	1048	57
948	1049	56
949	1050	55
950	1050	54
951	1051	53
952	1052	51
953	1052	50
954	1053	49
955	1054	48
956	1054	47
957	1055	46
958	1055	45
959	1056	44
960	1057	42
961	1057	41
962	1058	40
963	1059	39
964	1059	38
965	1060	37
966	1061	36
967	1062	35
968	1063	34
969	1063	32
970	1064	31
971	1065	30
972	1066	29
973	1066	28
974	1067	27
975	1068	26
976	1068	25
977	1069	24
978	1070	22
979	1070	21
980	1071	20
981	1072	19
982	1072	18
983	1073	17
984	1074	16
985	1074	15
986	1075	14
987	1076	13
988	1077	11
989	1077	10
990	1078	9
991	1078	8
992	1079	7
993	1080	6
994	1080	5
995	1081	4
996	1082	3
997	1083	2
998	1084	1
999	1084	0
